gif_frame_index,timestamp_utc,roi_left_px,roi_top_px,roi_right_px,roi_bottom_px,roi_mean_rendered_intensity,roi_std_rendered_intensity,roi_p05_rendered_intensity,roi_p95_rendered_intensity,roi_extreme_pixel_count,roi_pixel_count
3,2015-08-12T15:00:00Z,610,135,670,195,104.3163888888889,6.7932285127576275,96.0,113.0,0,3600
4,2015-08-12T15:10:00Z,610,135,670,195,104.88333333333334,6.96309717167743,96.0,114.0,0,3600
5,2015-08-12T15:20:00Z,610,135,670,195,105.17611111111111,7.400269243516969,96.0,114.0,0,3600
6,2015-08-12T15:30:00Z,610,135,670,195,105.11138888888888,8.697929719440195,96.0,125.0,16,3600
7,2015-08-12T15:40:00Z,610,135,670,195,106.62462962962964,19.77623647673676,95.0,126.0,112,3600
8,2015-08-12T15:50:00Z,610,135,670,195,107.77981481481481,19.193434769142062,95.0,127.0,96,3600
9,2015-08-12T16:00:00Z,610,135,670,195,110.34583333333333,23.16094382918455,95.0,148.3499999999999,128,3600
10,2015-08-12T16:10:00Z,610,135,670,195,114.09416666666667,20.77936394532379,96.0,162.0,64,3600
11,2015-08-12T16:20:00Z,610,135,670,195,114.01555555555555,18.95088043167922,96.0,155.0,56,3600
12,2015-08-12T16:30:00Z,610,135,670,195,112.31898148148149,16.97663092984153,96.0,148.0,64,3600
13,2015-08-12T16:40:00Z,610,135,670,195,111.5487962962963,17.155399802343805,96.0,148.0,48,3600
14,2015-08-12T16:50:00Z,610,135,670,195,112.02268518518517,16.83054462267794,96.0,140.0,48,3600
15,2015-08-12T17:00:00Z,610,135,670,195,111.8212037037037,16.801465280984704,96.0,139.0,48,3600
16,2015-08-12T17:10:00Z,610,135,670,195,111.42657407407407,16.914754790450147,95.0,133.0,51,3600
17,2015-08-12T17:20:00Z,610,135,670,195,111.9776851851852,14.037362914899484,96.0,132.0,32,3600
18,2015-08-12T17:30:00Z,610,135,670,195,111.56388888888888,13.70228843417527,96.0,127.0,32,3600
19,2015-08-12T17:40:00Z,610,135,670,195,111.26240740740741,14.979212975483172,97.0,127.0,64,3600
20,2015-08-12T17:50:00Z,610,135,670,195,111.38046296296295,13.406996783345189,105.0,126.0,54,3600
21,2015-08-12T18:00:00Z,610,135,670,195,111.21490740740741,13.711390911653252,105.0,126.0,53,3600
22,2015-08-12T18:10:00Z,610,135,670,195,110.63527777777777,13.886525440574701,104.95000000000002,126.0,64,3600
23,2015-08-12T18:20:00Z,610,135,670,195,110.64805555555556,13.030808433913762,105.0,126.0,64,3600
24,2015-08-12T18:30:00Z,610,135,670,195,110.50555555555556,12.319224913489315,104.0,126.0,38,3600
25,2015-08-12T18:40:00Z,610,135,670,195,110.30638888888889,12.152263770082277,97.0,126.0,32,3600
26,2015-08-12T18:50:00Z,610,135,670,195,109.82972222222222,11.75394283400518,96.0,126.0,32,3600
27,2015-08-12T19:00:00Z,610,135,670,195,110.1,11.381832502330681,97.0,126.0,26,3600
