rb_threshold,mean_max,terra_centroid_x_px,terra_centroid_y_px,aqua_centroid_x_px,aqua_centroid_y_px,displacement_px,displacement_km,bearing_deg
-20,90,369.74511978704527,199.53061224489795,407.6437607820586,282.47239792984476,91.1901683399946,59.47184891738778,155.44288811852653
-20,100,372.666877770741,200.51699387798186,401.1385459533608,276.0019204389575,80.67595693276336,52.61475452136741,159.33435261322325
-20,110,374.1613631697803,200.89262985013346,394.33341995842,269.1798336798337,71.20431224275063,46.43759494092433,163.5428465990458
-15,90,366.8949393311631,199.59781000295945,397.5798435342844,283.9917165209388,89.79919155159565,58.56469014234499,160.01916551792783
-15,100,369.2890535917902,200.51710376282782,389.6733102253033,275.69324090121313,77.89075371024623,50.79831763711711,164.82885414639702
-15,110,370.2863941769317,200.87597984322508,380.65905448717945,265.90665064102564,65.85271616511879,42.94742358594704,170.9374275272512
-10,90,365.3907580056749,200.64004864207539,399.5838068181818,283.84303977272725,89.9550016407193,58.666305417860414,157.65932920603223
-10,100,367.39410609037327,201.44636542239687,392.12885906040265,276.05771812080536,78.6044652419612,51.26378167953991,161.6588873063281
-10,110,367.85786604361374,201.6623831775701,383.21255438160347,266.57986326911123,66.70866267129358,43.505649568234944,166.69260572048938
-5,90,364.0988056460369,200.51085776330075,402.99636363636364,284.3248484848485,92.40024382155342,60.26102857927397,155.10427522699797
-5,100,365.2777185501066,201.01439232409382,399.2016509433962,280.441037735849,86.36796391249001,56.32693298640653,156.8721765292505
-5,110,365.52466843501327,201.14164456233422,392.3054626532887,273.44035674470456,77.09938211289919,50.28220572580382,159.67442868147623
0,90,362.8623778501629,198.4641693811075,403.50787401574803,283.4133858267717,94.17231935807304,61.41673001613459,154.43036918289351
0,100,363.2024291497976,198.63643724696357,398.1931818181818,278.25,86.96362542196425,56.71540788388973,156.2741542026954
0,110,363.25728155339806,198.65857605177993,388.30526315789473,268.5017543859649,74.19886078828951,48.39056138366707,160.27055427414007
